file,bank,offset_start,offset_end,sha1,sha256
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,31,0x0C4000,0x0C7FFF,897256b6709e1a4da9daba92b6bde39ccfccd8c1,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,32,0x0C8000,0x0CBFFF,897256b6709e1a4da9daba92b6bde39ccfccd8c1,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,33,0x0CC000,0x0CFFFF,897256b6709e1a4da9daba92b6bde39ccfccd8c1,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,34,0x0D0000,0x0D3FFF,897256b6709e1a4da9daba92b6bde39ccfccd8c1,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,35,0x0D4000,0x0D7FFF,897256b6709e1a4da9daba92b6bde39ccfccd8c1,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,36,0x0D8000,0x0DBFFF,897256b6709e1a4da9daba92b6bde39ccfccd8c1,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,37,0x0DC000,0x0DFFFF,897256b6709e1a4da9daba92b6bde39ccfccd8c1,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,38,0x0E0000,0x0E3FFF,897256b6709e1a4da9daba92b6bde39ccfccd8c1,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,39,0x0E4000,0x0E7FFF,897256b6709e1a4da9daba92b6bde39ccfccd8c1,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,3A,0x0E8000,0x0EBFFF,897256b6709e1a4da9daba92b6bde39ccfccd8c1,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,3B,0x0EC000,0x0EFFFF,897256b6709e1a4da9daba92b6bde39ccfccd8c1,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,3C,0x0F0000,0x0F3FFF,897256b6709e1a4da9daba92b6bde39ccfccd8c1,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,3D,0x0F4000,0x0F7FFF,897256b6709e1a4da9daba92b6bde39ccfccd8c1,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,3E,0x0F8000,0x0FBFFF,897256b6709e1a4da9daba92b6bde39ccfccd8c1,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,3F,0x0FC000,0x0FFFFF,897256b6709e1a4da9daba92b6bde39ccfccd8c1,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
